taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Abutilon julianae, open situations among grass and on rocky cliffs Green 1994 ,,,,,,,,,cliff,cliffs,cliffs rocky,cliffs cliffs rocky,,,,,soil_rocky,rocky,,
Acacia pickardii, typically grows on stony gibbercoveredsandplainss and stony rises and low hills including mesas and tablelands and adjacent flats  The species usually forms a shrubland or low openwoodland ,,,,,,,,,flats hills plateaus swales,flats hills tablelands rises,woodland_open plateaus shrubland,openwoodland mesas shrubland openwoodland,,,pavement,stony gibbercovereds,stony,stony,,
Acacia undoolyana, Grows on steep rockyslopes with skeletal soils or at the base of sandstone gullies ,,,,,,,,,slopes_rocky gullies,rockyslopes gullies,rocky,rockys,,,sandstone,sandstone,sand skeletal soil_rocky,sands skeletal rockys,,
Achyranthes margaretarum, steep rubblestrewn southeastfacing hillside ,,,,,,,,,hills,hills hillside,slope,hillside,,,,,,,,
Acianthus ledwardii, unknownextinct ,,,,,,,,,,,,,,,,,,,,
Actinotus schwarzii, occurs exclusively in sheltered gorges and on steep southfacing cliffs ,,,,,,,,,cliff gorges,cliffs gorges,cliffs,cliffs cliffs,,,,,,,,
Adenanthos pungens subsp. effusus, openscrub over lower mixed shrubs The soil type is greywhite siliceous sand ,,,,,,,,,,,scrubland_open shrubland,openscrub shrubs,,,siliceous,siliceous,sand,sand,,
Andersonia annelsii, sandy loam near granite rocks ,,,,,,,,,,,rocky_outcrop,,,,granitic,granite,loam sand,loam sandy,,
Androcalva adenothalia, scrub with httpswwwgooglecomurlsa=tsource=webrct=jopi=89978449url=httpswwwdbcawagovaumedia2364downloadved=2ahUKEwjBtabiNKNAxVi1TQHHQtfE8oQFnoECDUQAQusg=AOvVaw3q3Jr50kS8vj8f6dSah0e mallee Eucalyptus in orangebrown sand gravel and laterite ,,,,,,,,,,,mallee scrubland,mallee scrub,,,lateritic,laterite,gravel sand,gravel sand,,
Androcalva bivillosa, Flats and slopes Reddishbrown or yellow sand with lateritic gravel Road verge lateritic gravel and orange brown clayey sand Recent soil disturbance Kwongan shrubland ,,,,,,,,,slopes,slopes,shrubland,shrubland,brown orange yellow,brown orange yellow,lateritic,lateritic,clay gravel sand,clayey gravel sand,,
Androcalva perlaria, Seasonally inundated clay basin brownblack peaty sand clay soil located in the Pallinup Sandplains on Tertiary sediments  Eucalyptus occidentalis Melaleuca cuticularis woodland over low sedge  rushes and herbs eucalyptus woodland ,,,,,,,,,,,woodland,woodland,,,,,clay peat sand,clay peaty sand,,
Anthosachne kingiana subsp. kingiana, occurs at the intergrade between exposed basaltderived rocky cliffs and a shrub zone that merges into littoral rainforest grows on a northfacing slope among tall herbs and subshrubs ,,,,,,,,,cliff slopes,cliffs slope,rainforest littoral cliffs rocky,rainforest littoral rainforest cliffs cliffs rocky,,,basaltic,basaltderived,soil_rocky,rocky,,
