Species (tribe),Species Category,Damage score (populations assessed),Original latitudinal range,Reproductive capacity,Notes
Rhodomyrtus psidioides (Myrteae),X,7.5 (55),−33.5° to −25.7°,Very low,"Formerly widespread; once a common, small tree along the fringe of littoral rainforest, in wet eucalypt forest and in secondary forest after rainforest clearing (J. Halford, pers. comm. 2020). Progressive decline has been documented (Carnegie et al., 2016; Fensham et al., 2020), but since 2020, three of the relatively healthy populations have collapsed with mature trees reduced to suckers. Seedlings have not been observed in the wild. Nursery grown plants are impacted but some survive (J. Halford, pers. comm. 2020)."
Lenwebbia sp. Main Range (Myrteae),X,7.4 (4),−28.3° to −27.9°,Very low,"Confined to high altitude, cool subtropical rainforest along cliff edges, where it was previously locally abundant (L. Weber, pers. comm. 2020). Ten previous populations had reliable locality data, but no live plants were located at four of these populations during our surveys of 2020. All remaining populations exhibit severe decline. Seedlings have not been observed in the wild."
Rhodamnia spongiosa (Myrteae),X,6.6 (27),−24.6° to −11.7°,Very low,"While often common where it occurs, the extreme susceptibility of R. spongiosa to myrtle rust infection has resulted in population decline across its entire range, as well as an inability to produce reproductive material. Dead and dying mature trees up to 20 m tall have been observed. Also occurs in Papua New Guinea, where the status of populations is unknown. Seedlings have not been observed in the wild."
Rhodamnia rubescens (Myrteae),X,6.3 (79),−35.7° to −26.0°,Low,"Formerly a common pioneer species in wet eucalypt forests (Floyd, 1989), but also in primary rainforest and in secondary forest after rainforest clearing (J. Halford, pers. comm. 2020). Exhibits some variation in its susceptibility to myrtle rust infection, with a small proportion of plants showing only minor stem dieback. However, formerly healthy plants have subsequently succumbed to the disease. The production of viable fruit or seedlings has rarely been recently observed within its natural range and habitat. Dead and dying mature trees up to 20 m tall have been observed (2016). Seedlings have not been observed in the wild. Nursery grown plants are impacted but some survive (S. Shaw, J. Halford, pers. comm. 2021)."
Lenwebbia lasioclada (Myrteae),X,6.3 (5),−17.8° to −16.4°,Data Deficient,"Restricted to an altitudinal range of 1000–1550 m in montane tropical rainforest, where it was formerly locally common (S. McKenna, pers. comm. 2020). Considerable population decline has been observed, including mature tree death. Reproductive material has not been recorded for this species. Seedlings have not been observed in the wild."
Rhodamnia pauciovulata (Myrteae),X,6.3 (17),−26.8° to −20.1°,Very low,"Eight populations of this species had reliable locality data, but no live plants were located at three of these populations during our surveys of 2020. All remaining populations exhibit severe decline. Seedlings have not been observed in the wild."
Rhodamnia glabrescens (Myrteae),X,6 (16),−24.6° to −20.2°,Moderate,"Occurs in subtropical and dry rainforest as a shrub or small understory tree. Tree death has rarely been observed throughout its range. Nevertheless, moderate to severe stem dieback is frequently recorded, as is reduced reproductive capacity. Seedlings have not been observed in the wild. Nursery grown plants are impacted but some survive (J. Radford-Smith, pers. comm. 2020)."
Lenwebbia sp. Blackall Range (Myrteae),X,5.9 (8),−26.8° to −26.4°,Low,"The preferred habitat of this species is swamp forest around the margins of rainforest, where it was once locally abundant (G. Thomas, pers. comm. 2020). Three population extinctions have been recorded for this species since the introduction of myrtle rust, with other populations containing only several individuals. Two forms of this species exist, and observations show that they differ in their susceptibility. Seedlings have not been observed in the wild. The impact on nursery grown plants is variable depending on provenance (S. Shaw, G. Thomas pers. comm. 2021)."
Gossia hillii (Myrteae),X,5.9 (50),−30.2° to −16.2°,Low,"A previously widespread species, occurring in tropical, subtropical and dry rainforest communities. Described by Floyd (1989) as common in dry rainforest throughout the subtropics. There appears to be negligible variation in susceptibility to infection throughout its range, with all populations exhibiting moderate to severe stem dieback. Seedlings have not been observed in the wild. Nursery grown plants are impacted but some survive (J. Halford pers. comm. 2020)."
Gossia lewisensis (Myrteae),X,5.8 (12),−16.6° to −16.1°,Data Deficient,"Formerly a common understory tree or shrub (S. McKenna, pers. comm. 2020) in montane rainforest (>850 m). Repeated assessments over three years at Mt. Lewis National Park indicate continual population decline (S. McKenna pers. comm. 2020). Seedling recruitment was recorded in only one instance across all assessment sites."
Backhousia hughesii (Backhousieae),X,5.7 (4),−17.3° to −15.9°,Low,"An uncommon species which occurs in tropical rainforest as a canopy or sub-canopy tree. Assessments indicate that this species is extremely susceptible to myrtle rust, with observations of extensive canopy defoliation and tree mortality at various sites. Seedlings have not been observed in the wild."
Rhodamnia maideniana (Myrteae),X,5.7 (13),−28.9° to −28.0°,Moderate,"A shrub or small tree, formerly locally abundant in subtropical rainforest (L. Weber, pers. comm. 2020). Assessments of two populations during the 2020 fruiting period indicated a 95% reduction in seed production (J. Radford-Smith, unpublished data). Dead and dying mature trees up to 7 m tall have been observed. Seedlings have not been observed in the wild. Nursery grown plants are severely impacted (J. Radford-Smith, J. Halford pers. comm. 2020)."
Ristantia pachysperma (Kanieae),X,5.6 (7),−17.5° to −16.1°,Data Deficient,"This species occupies lowland rainforest on the margins of freshwater swamps. Occasionally a dominant canopy tree, extensive defoliation due to myrtle rust has been observed, impacting both seedlings and adult trees. Nursery grown plants are not impacted (P. Jobson, pers. comm. 2021)"
