Species,seed provenance,No. parent trees,Average disease severity (mean),Average disease severity (SE),Resistant seedlings (%),% seedling per severity class R1/R2/R3/R4/R5,state,Location,seedlot,latitude (deg),longitude (deg),elevation (m)
Melaleuca leucadendra,"Buffalo Ck, NT",5,3.62,0.12,14.29,7.8/6.5/18.2/50.7/16.9,Northern Territory,Buffalo Creek,"20,179",-12.2,130.54,3
Melaleuca leucadendra,"Cambridge Gulf, WA",5,2.37,0.13,53.16,32.9/20.3/26.6/17.7/2.5,Western Australia,Cambridge Gulf,"18,909",-14.55,128.34,20
Melaleuca leucadendra,"Iron Range, QLD",1,3.69,0.14,21.25,6.3/15/11.3/38.8/28.8,Queensland,Iron Range,"13,532",-12.42,143.2,40
Melaleuca leucadendra,"Kalumburu Mission, WA",5,4.22,0.09,2.53,1.3/1.3/10.1/49.4/38,Western Australia,Kalumburu Mission,"18,914",-14.18,126.38,20
Melaleuca leucadendra,"King River, NT",7,3.62,0.12,16.67,2.6/14.1/24.4/37.2/21.8,Northern Territory,King River,"18,424",-14.37,132.36,180
Melaleuca leucadendra,"Mareeba, QLD",3,1.86,0.15,80.52,58.4/22.1/2.6/9.1/7.8,Queensland,Mareeba,"13,567",-17,145.3,500
Melaleuca leucadendra,"Nimalaica Claypan, WA",6,4.1,0.08,1.35,0/1.4/13.5/59.5/25.7,Western Australia,Nimalaica Claypan,"19,574",-17.4435,122.13,10
Melaleuca leucadendra,"St Lawrence, QLD",20,3.42,0.14,27.85,6.3/21.5/16.5/35.4/20.3,Queensland,St Lawrence,"15,575",-22.23,149.3,25
Melaleuca leucadendra,"Wangi, Litchfield NP, NT",5,3.84,0.1,8.86,1.3/7.6/17.7/53.2/20.3,Northern Territory,"Wangi, Litchfield NP","18,900",-13.09,130.35,30
Melaleuca quinquenervia,"Boggy Ck, NSW",9,2.27,0.16,68.6,37.1/31.4/8.6/12.9/10,New South Wales,Boggy Creek,–,-29.5731,153.1426,3.3
Melaleuca quinquenervia,"Bribie Island, QLD",10,2.68,0.2,50.8,39.7/11.1/7.9/23.8/17.5,Queensland,Bribie Island,"17,517",-27.04,153.11,10
Melaleuca quinquenervia,"Caloundra, QLD",20,1.94,0.17,73.4,59.4/14/4.7/17.2/4.7,Queensland,Caloundra,"15,565",-26.48,152.59,90
Melaleuca quinquenervia,"Dohles Rocks, QLD",10,2.29,0.19,59.7,51.6/8.1/11.3/17.7/11.3,Queensland,Dohles Rocks,"17,518",-27.16,153.01,20
