Species,EOO (km2),AOO (km2),Mature individuals,Largest sub-population,Accepted threats,Locations,IUCN criteria,IUCN category,"Listing (EPBC, State)"
E. absita*,209.03,24,208,,,,D,EN,"EN, CR"
E. annettae,41.68,12,,,Obligate-seeder with fire,1,D2,VU,"NL, NL"
E. arcana,8.44,12,200–300,,,,D,EN,"NL, VU"
E. argophloia,357.61,80,,,Recruitment,1,B,EN,"VU, VU"
E. articulata,224.96,8,270,,Future mining,2,D1; D2,VU,"VU, EN"
E. aurifodina,1029.72,48,1200,<250,Urbanisation,,C,EN,"NL, NL"
E. beardiana,"10,238.00",108,<250,20–50,Roadsides; goats (recruitment),,C,CR,"VU, EN"
E. bensonii,932.49,72,250–800,,,,D1,VU,"NL, NL"
E. benthamii,1110.49,92,,,Dams,5,B,EN,"VU, VU"
E. brandiana,160.04,16,700,,Obligate-seeder with fire,1,D1; D2,VU,"NL, NL"
E. brevipes,2950.63,44,239,,,,D,EN,"EN, EN"
E. calcicola,"22,430.34",96,500,,,,D1,VU,"NL, NL"
E. carolaniae,0.17,4,,,Urbanisation,1,B,CR,"NL, T"
E. cerasiformis,528.43,52,,,Active mining,6,B,VU,"NL, NL"
E. conferta,3.5,12,700,,,,D1,VU,"NL, NL"
E. conglomerata,951.51,132,1100,20–50,Urbanisation,,C,EN,"EN, EN"
E. crenulata,44.22,12,400–600,,Dieback,1,B,CR,"EN, EN"
E. crucis,"32,457.77",232,500–999,,,,D1,VU,"NL, NL"
E. dalveenica,4.09,0,240,50–249,Urbanisation; recruitment,,C,CR,"NL, NL"
E. desmondensis,709.14,68,1000–2000,50–200,Active mining,,C,EN,"NL, NL"
E. dolorosa,13.07,4,5,,,,D,CR,"EN, CR"
E. elaeophloia,159.86,12,100–199,,,,D,EN,"NL, NL"
E. erectifolia,1976.24,92,<100,,,,D,EN,"NL, NL"
E. farinosa,180.28,12,,,Future mining,2,D2,VU,"NL, NL"
E. filiformis,647.53,4,3–10,,,,D,CR,"NL, NL"
E. fracta,26.07,12,,,Future mining,2,D2,VU,"NL, VU"
E. georgei,1256.47,76,,,Active mining,7,B,VU,"NL, NL"
E. halophila*,4798.35,180,<1000,,,,D1,VU,"NL, NL"
E. imlayensis,2.92,4,5,75,Dieback,1,B; C; D,CR,"EN, CR"
E. impensa,1.74,12,114,,Dieback,1,B,CR,"EN, CR"
E. infera,34.49,24,,,Active mining,1,B,VU,"VU, VU"
E. johnsoniana,469.84,112,647,5,Active mining,5,B; C,EN,"VU, VU"
E. jutsonii,181.44,44,250–999,100,Active mining,7,B; C; D,VU,"NL, NL"
E. kabiana,3.78,8,,,Lack of recruitment,2,B,EN,"VU, VU"
E. macarthurii,2204.41,168,"4000–10,000",>1000,Urbanisation,,C,VU,"EN, EN"
E. magnificata,700.76,40,,,Active mining; recruitment,9,B,VU,"NL, EN"
E. mcquoidii,49.99,20,,,Obligate-seeder with fire,1,D2,VU,"NL, NL"
E. megacornuta,839.49,88,<1000,,,,D1,VU,"NL, NL"
E. mitchelliana,91.74,40,<1000,,,,D1,VU,"NL, NL"
E. molyneuxii,12.23,12,<100,,,,D,EN,"NL, T"
E. morrisbyi*,283.38,76,7–29,50–800,Lack of recruitment,1,C; D,CR,"EN, EN"
E. newbeyi,1071.4,8,,,Obligate-seeder with fire,2,D2,VU,"NL, NL"
E. nudicaulis,2295.16,36,600–1000,7–29,Active mining,,C,EN,"NL, NL"
E. nutans,1503.43,12,,,Obligate-seeder with fire,1,D2,VU,"NL, VU"
E. ornans*,0.04,8,10,100,Flood,1,B; C; D,CR,"NL, T"
E. paludicola,4680.53,184,720–750,10,Recruitment,,C,EN,"EN, EN"
E. petrensis,"12,888.14",116,1000,100,Urbanisation,,C,EN,"NL, NL"
E. platydisca,194.49,16,,,Active mining,4,B,EN,"VU, VU"
E. praetermissa,27.5,8,,,Obligate-seeder with fire,1,D2,VU,"NL, NL"
E. pumila,50.37,24,400,,,,D1,VU,"NL, VU"
E. purpurata,81.49,8,,,Active mining,1,B,CR,
E. recurva,527.23,32,6,3,Active mining,,C; D,CR,"CR, CR"
E. relicta,225.24,8,<500,,,,D1,VU,"NL, NL"
E. rhomboidea,95.5,24,,,Active mining,4,B,EN,"NL, NL"
E. rugulata,277.32,24,,,Active mining,3,B,EN,"NL, NL"
E. semota,6639.78,12,,,Future mining,3,D2,VU,"NL, NL"
E. splendens*,47.05,28,,,Roadsides,5,B,EN,"NL, NL"
E. steedmanii,702.68,60,,,Active mining,6,B,VU,"VU, VU"
E. stoatei,878,28,1000–2000,6,Active mining,3,B; C,EN,"NL, NL"
E. suberea,727.84,76,274,,,,D1,VU,"VU, VU"
E. synandra,"18,171.16",88,1060,249,Active mining,,C,EN,"VU, VU"
E. vesiculosa*,104.62,8,,,Obligate-seeder with fire,1,D2,VU,"NL, NL"
E. virginea,2834.96,8,<1000,,,,D1,VU,"NL, NL"
E. walshii,28.11,12,36,,,,D,CR,"NL, NL"
E. yarriambiack,8.72,16,,,Roadsides,1,B,CR,"NL, T"
