Species,GR (km2),EPD %,Habitat,IUCN category,"Listing (EPBC, State)",TEC
E. absita*,207.4,58.83,P,EN,"EN, CR",
E. aequioperta,"32,718.30",56.76,P,EN,"NL, NL",
E. aggregata,"13,625.90",43.62,P,VU,"VU, VU",
E. albens,"280,142.10",30.97,M,VU,"NL, NL",4; 31
E. albida,"43,766.60",46.7,M,VU,"NL, NL",
E. alipes,"28,322.90",41.82,P,VU,"NL, NL",10
E. angulosa,"20,162.50",32.01,M,VU,"NL, NL",
E. angustissima,4601.9,49.93,P,VU,"NL, NL",
E. annulata,"13,470.60",37.77,M,VU,"NL, NL",10
E. arenicola,2286,37.36,M,VU,"NL, NL",
E. armillata,"22,300.90",48.5,M,VU,"NL, NL",10
E. aromaphloia,"10,288.50",39.18,M,VU,"NL, NL",
E. baueriana,9551.4,32.05,P,VU,"NL, NL",
E. behriana,"52,008.10",77.62,P,EN,"NL, NL",
E. blakelyi,"183,581.10",30.17,M,VU,"NL, NL",4; 28; 31
E. bridgesiana,"149,927.10",40.05,P,VU,"NL, NL",31
E. buprestium,8498.7,31.36,M,VU,"NL, NL",22
E. burracoppinensis,"39,720.90",33.14,M,VU,"NL, NL",
E. cadens,94.5,46.39,P,VU,"VU, T",
E. calycogona,"213,075.70",54.89,P,EN,"NL, NL",10
E. cambageana,"203,020.60",33.91,P,VU,"NL, NL",2
E. camfieldii,486.9,32.88,M,VU,"VU, VU",
E. captiosa,4189.2,46.24,M,VU,"NL, NL",
E. cephalocarpa,"25,870.80",42.72,M,VU,"NL, NL",10
E. cladocalyx,7121.1,31.89,M,VU,"NL, NL",12; 20
E. clivicola,"19,140.80",30.23,M,VU,"NL, NL",
E. cneorifolia,1795.1,34.32,M,VU,"NL, NL",16
E. conica,"161,306.30",49.23,P,VU,"NL, NL",31
E. cretata,5093.8,75.74,P,EN,"NL, NL",
E. cuprea,3525,78.15,P,EN,"NL, EN",
E. cyanophylla,9657,34.12,M,VU,"NL, NL",
E. dawsonii,"20,350.40",37.89,P,VU,"NL, NL",4; 14
E. dielsii,"20,814.70",36.75,P,VU,"NL, NL",
E. diminuta,8048.7,39.15,P,VU,"NL, NL",
E. dissimulata,"15,837.40",60,P,EN,"NL, NL",
E. diversifolia,"50,172.40",37.69,M,VU,"NL, NL",16
E. dolichorhyncha,1939.3,65.15,P,EN,"NL, NL",
E. dumosa,"275,008.50",45.7,P,VU,"NL, NL",
E. erythronema,"27,236.90",53,M,EN,"NL, NL",10
E. extensa,"66,876.70",38.59,P,VU,"NL, NL",10
E. falciformis,"10,570.60",48.59,P,VU,"NL, NL",
E. fasciculosa,"29,474.90",42.57,M,VU,"NL, NL",16
E. flocktoniae,"161,060.30",31.24,M,VU,"NL, NL",10
E. foliosa,1267.4,80.23,P,CR,"NL, NL",
E. forrestiana,3998.5,55.42,P,EN,"NL, NL",
E. froggattii,992.3,71.2,P,EN,"NL, T",
E. fulgens,1507.7,62.06,P,EN,"NL, NL",
E. gittinsii,"25,514.90",35.05,M,VU,"NL, NL",10
E. glaucina,3235,39.04,P,VU,"VU, VU",4
E. gomphocephala,5732.9,31.38,M,VU,"NL, NL",1; 27
E. goniocalyx,"106,195.50",31.33,M,VU,"NL, NL",
E. goniocarpa,376.6,68.32,P,EN,"NL, NL",
E. gunnii,"13,193.90",70,P,EN,"NL, NL",
