taxon_name,distribution,,,,,
Acacia leptoneura,situated high in the landscape at 335 m elevation,x,,,,
Atriplex yeelirrie,is found only within a palaeovalley of the Yilgarn craton that contains significant near-surface uranium mineralisation ,x,,,,
Bossiaea peninsularis,"occurs on sandy soils surrounding salt marshes and lakes near Lake Brimpton and Karkoo on Eyre Peninsula in South Australia (Te et al., 2009). The species is currently only known from two roadside populations ",x,,,,
Bruguiera x hainesii,coastal,x,,,,
Choretrum spicatum subsp. spicatum,e margins of a dry lagoon ,x,,,,
Pherosphaera fitzgeraldii, restricted to the spray zones and seeps around waterfalls ,x,,,,
Prostanthera albohirta,,x,,,,
Prostanthera palustris,,x,,,,
Ptilotus pyramidatus,,x,,,,
Solanum dissectum," found in open forest and woodland habitats where brigalow (Acacia harpophylla) and/or lapunyah (Eucalyptus thozetiana) characterise the dominant vegetation types on solodic clay soils (Bean 2004; Queensland Herbarium 2012, cited in DEHP 2015).",x,,,,
Solanum johnsonianum, found in open forest and woodland habitats where brigalow (Acacia harpophylla) dominates or co-dominates on heavy cracking clay soils (Bean 2004).,x,,,,
Stylidium ensatum,,x,,,,
Veronica parnkalliana,,x,post_fire_recruitment; soil_seedbank_present,fire_killed,,
Epacris sparsa, of sparse heath based on historical population data (1970- 2017) and data from plots and transects (2017-23),x,,,,
Eucalyptus pachycalyx subsp. banyabba,"slight rises on shallow to skeletal sandstone soils in dry sclerophyll forests and woodlands (OEH 2018; P. Sheringham, pers comm. 27 July 2021). The subspecies can be locally dominant, though sparse, over a low heathy understorey (OEH 2018). In Banyabba NR, Banyabba shiny-barked gum is found in very open woodlands on sandstone benches",x,,resprouts,lignotuber,
Geniostoma huttonii,"narrow, exposed ridges off the two mountain peaks in the southern mountains.",x,,,,
Grevillea bracteosa subsp. howatharra," grows in heavy soils, consisting of clay loam with laterite, in open sunny positions (Olde & Marriot 2008). Associated species include Grevillea pinaster, G. petrophiloides (pink pokers), Gastrolobium spinosum (prickly poison), Banksia fraseri, B. sessilis (parrot bush), Ecdeiocolea monostachya, Allocasuarina humilis (dwarf sheoak), Pityrodia terminalis (native foxglove), Acacia congesta and Stenanthemum pomaderroides.
",x,,,,
Hibbertia abyssus," distinctive geological substrate consisting of Pallinup Siltstone and silica caprock over ultramafic rock. The population occurred in shallow red-brown light clay in Eucalyptus-Banksia-Melaleuca open mallee shrublands (Wege and Thiele 2009).
Sandstone/siltstone, rocky terrain and saprolite breakaway   Mallee woodland, over orange/brown sandy clay, over silcrete rock. ",x,,,,
Hibbertia cistiflora subsp. quadristaminea,,x,,,,
Hibbertia praemorsa," grows in heath or open heathy woodland. At Wingello, the species grows in shallow sandy soil on undisturbed sandstone rock shelves with heathy vegetation. At Hakea Bundanoon, the species grows in heath or heathy eucalypt woodland, in association with  dactyloides Leptospermum trinervium Lambertia formosa (finger hakea), (flaky-barked tea-tree),  Banksia serrata  (mountain devil), and (old-man banksia). At the Budawangs, the species grows Eucalyptus multicaulis on a steep rocky slope with north-west aspect in shrubland dominated by  Eriostemon H. dactyloides B. spinulosa  (whipstick ash), sp., (finger hakea) and (hairpin banksia).",x,,,,
Melichrus gibberagee,,x,post_fire_recruitment,fire_killed,"clonal stolon-like stems embedded in leaf litter. Ecos Environmental (2017) notes that ""...stems radiating out from a central point along the ground and with upright stems growing from prostrate stems, which gives the appearance of a clone of stems when covered by litter. The prostrate stems in contact with the soil often send down roots (by layering) and occasionally form a discrete stem cluster separate from the main plant although usually they remain attached.""",
Olearia arckaringensis,example of Badlands or Breakaway topography,x,,,,
