taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Abrodictyum caudatum,A rare fern of rainforests in far East Gippsland the Beenak area and Wilsons Promontory It grows on the trunks of treeferns particularly Cyathea australis,A rare fern of rainforests in far East Gippsland the Beenak area and Wilsons Promontory It grows on the trunks of treeferns particularly Cyathea australis,rare,rare,rainforest,rainforests rainforests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abrotanella nivigena,Confined to the higher parts of the alps in the vicinity of Mts Bogong and Nelse where very rare Occurs in wet gravelly peats in open herbfield and heathland communities,Confined to the higher parts of the alps in the vicinity of Mts Bogong and Nelse where very rare Occurs in wet gravelly peats in open herbfield and heathland communities,rare,rare,alpine heath,alps heathland,NA,NA,NA,NA,gravelly peat,gravelly peats,NA,NA,NA,NA
Abutilon fraseri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon fraseri subsp. diplotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon fraseri subsp. fraseri,Known in Victoria only from sandy red loam soils between Sunny Cliffs and Red Cliffs south of Mildura Formerly known from Merbein west of Mildura but now apparently extinct there,Known in Victoria only from sandy redloam soils between Sunny Cliffs and Red Cliffs south of Mildura Formerly known from Merbein west of Mildura but now apparently extinct there,NA,NA,NA,NA,NA,NA,NA,NA,loam sand,redloam sandy,NA,NA,NA,NA
Abutilon grandifolium,Also naturalised in Native to South America Sometimes grown as an ornamental occasionally colonising disturbed sites in the Melbourne area,Also naturalised in Native to South America Sometimes grown as an ornamental occasionally colonising disturbed sites in the Melbourne area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon indicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon malvifolium,Known in Victoria only from cracking grey clay soils of the Murray River floodplain near Red Cliffs,Known in Victoria only from cracking grey clay soils of the Murray River floodplain near Red Cliffs,NA,NA,floodplain,floodplain,NA,NA,NA,NA,clay,clay,NA,NA,NA,NA
Abutilon otocarpum,All mainland states Rare confined to red loam ridges and dunes near the floodplain of the Murray River in the far northwest eg Hattah Mildura and Robinvale areas Flowering after summer rains,All mainland states Rare confined to redloam ridges and sandduness near the floodplain of the Murray River in the far northwest eg Hattah Mildura and Robinvale areas Flowering after summer rains,NA,NA,sanddunes floodplain,sandduness floodplain sandduness sanddunes,ridge,ridges,NA,NA,loam,redloam,NA,NA,NA,NA
Abutilon oxycarpum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon oxycarpum var. subsagittatum,In Victoria known with certainty only from the dry Eucalyptus albens�Callitris glaucophylla woodlands on coarse granitic sand along the upper Snowy River,In Victoria known with certainty only from the dry Eucalyptus albens�Callitris glaucophylla woodlands on coarse granitic sand along the upper Snowy River,NA,NA,woodland,woodlands,NA,NA,NA,NA,sand,sand,NA,NA,granite,granitic
Abutilon pictum,Also naturalised in Native to Brazil Widely cultivated plants occasionally escaping cultivation Populations observed in the Melbourne region are apparently sterile spreading vigorously via root suckers forming dense localised stands,Also naturalised in Native to Brazil Widely cultivated plants occasionally escaping cultivation Populations observed in the Melbourne region are apparently sterile spreading vigorously via root suckers forming dense localised stands,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
