Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution,Species,In,In cultivation,By experiment,
Pultenaea ericifolia,field_resistant,Pultenaea ericifolia,Pultenaea ericifolia,Fabaceae,WA,Allocasuarina trichodon,,3,,FR59
Sphaerolobium medium,field_resistant,Sphaerolobium medium,Sphaerolobium medium,Fabaceae,WA,Allocasuarina verticillata,"2,8",,,FR60
Dampiera fasciculata,field_resistant,Dampiera fasciculata [alternative possible names: Dampiera stricta (pro parte misapplied)],Dampiera fasciculata,Goodeniaceae,WA,Casuarina cunninghamiana subsp. cunninghamiana,2,,,
Dampiera linearis,field_resistant,Dampiera linearis,Dampiera linearis,Goodeniaceae,WA,Casuarina obesa,50,,,FR50
Scaevola striata s.l.,field_resistant,Scaevola striata,Scaevola striata,Goodeniaceae,WA,Centrolepis aristata,,,,FR21
Velleia foliosa,field_resistant,Goodenia brendannarum,Goodenia brendannarum,Goodeniaceae,WA,Garcinia sp. (Davies Ck JG Tracey 14745),,,,FR36
Polyosma alangiacea,field_resistant,Polyosma alangiacea,Polyosma alangiacea,Escalloniaceae,Qld,Burchardia multiflora,40,,,FR40
Anigozanthus flavidus,field_resistant,Anigozanthos flavidus,Anigozanthos flavidus,Haemodoraceae,"WA, NSW (naturalised), Tas (doubtfully naturalised)",Burchardia umbellata,40,,,FR40
Anigozanthus manglesii,field_resistant,Anigozanthos manglesii,Anigozanthos manglesii,Haemodoraceae,"WA, Qld (formerly naturalised)",Anodopetalum biglandulosum,17,,,S60
Anigozanthus rufus,field_resistant,Anigozanthos rufus,Anigozanthos rufus,Haemodoraceae,WA,Bauera rubioides,"8,17,34",,33,LS61
Conostylis aculeata s.l.,field_resistant,Conostylis aculeata,Conostylis aculeata,Haemodoraceae,WA,Bauera sessiliflora,,44,,LS44
Conostylis misera E,field_resistant,Conostylis misera,Conostylis misera,Haemodoraceae,WA,Geissois biagiana,,,,FR36
Conostylis pusilla,field_resistant,Conostylis pusilla,Conostylis pusilla,Haemodoraceae,WA,Gillbeea adenopetala,,,,S36
Macropidia fuliginosa,field_resistant,Macropidia fuliginosa,Macropidia fuliginosa,Haemodoraceae,WA,Gillbeea whypalliana,,,,FR36
Gonocarpus benthamii subsp. Stirling,field_resistant,Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),Haloragaceae,WA,Actinostrobus pyramidalis,2a,,,S54
Gonocarpus rudis,field_resistant,Gonocarpus rudis,Gonocarpus rudis,Haloragaceae,WA,Callitris preissii,,3,,
Gonocarpus teucrioides,field_resistant,Gonocarpus teucrioides,Gonocarpus teucrioides,Haloragaceae,"Qld, NSW, Vic, Tas",Callitris rhomboidea,29,,,FR60
Apodytes brachstylis,field_resistant,Apodytes brachystylis,Apodytes brachystylis,Icacinaceae,Qld,Caustis dioica,20,,,FR40
Citronella smythii,field_resistant,Citronella smythii,Citronella smythii,Icacinaceae,Qld,Cyathochaeta avenacea,,,,"FR21,40"
Irvingbaileya australis,field_resistant,Irvingbaileya australis,Irvingbaileya australis,Icacinaceae,Qld,Cyathochaeta clandestina,24,,,FR24
Gmelina fasciculiflora,field_resistant,Gmelina fasciculiflora,Gmelina fasciculiflora,Lamiaceae,Qld,Evandra aristata,,,,"S46,LS40"
Hemigenia curvifolia,field_resistant,Hemigenia curvifolia,Hemigenia curvifolia,Lamiaceae,WA,Gahnia grandis,17,,,FR60
Hemigenia ramosissima,field_resistant,Hemigenia ramosissima [alternative possible names: Hemigenia pritzelii (pro parte misapplied) | Hemigenia rigida (pro parte misapplied)],Hemigenia ramosissima,Lamiaceae,WA,Gahnia trifida,,,,FR40
Cassytha glabella,field_resistant,Cassytha glabella,Cassytha glabella,Lauraceae,"WA, SA, Qld, NSW, Vic, Tas",Gymnoschoenus sphaerocephalus,17,,,FR61
Cryptocarya angulata,field_resistant,Cryptocarya angulata,Cryptocarya angulata,Lauraceae,Qld,Lepidosperma angustatum,,,,FR21
Cryptocarya corrugata,field_resistant,Cryptocarya corrugata,Cryptocarya corrugata,Lauraceae,Qld,Lepidosperma brunonianum,,,,FR59
Cryptocarya corrugata,field_resistant,Cryptocarya corrugata,Cryptocarya corrugata,Lauraceae,Qld,Lepidosperma concavum,17,,,FR42
Cryptocarya densiflora,field_resistant,Cryptocarya densiflora,Cryptocarya densiflora,Lauraceae,Qld,Lepidosperma effusum,,,,FR59
Cryptocarya leucophylla,field_resistant,Cryptocarya leucophylla,Cryptocarya leucophylla,Lauraceae,Qld,Lepidosperma gladiatum,,,,FR59
Cryptocarya lividula,field_resistant,Cryptocarya lividula,Cryptocarya lividula,Lauraceae,Qld,Lepidosperma laterale s.l.,2,,,FR60
Cryptocarya putida,field_resistant,Cryptocarya putida,Cryptocarya putida,Lauraceae,Qld,Lepidosperma longitudinale,,,,FR58
Endiandra dichrophylla,field_resistant,Endiandra dichrophylla,Endiandra dichrophylla,Lauraceae,Qld,Lepidosperma scabrum,24,,,FR24
Endiandra monothyra subsp. monothyra,field_resistant,Endiandra monothyra subsp. monothyra,Endiandra monothyra subsp. monothyra,Lauraceae,Qld,Lepidosperma squamatum,,,,"FR21,59"
Endiandra montana,field_resistant,Endiandra montana,Endiandra montana,Lauraceae,Qld,Lepidosperma tenue,24,,,FR24
Endiandra sankeyana,field_resistant,Endiandra sankeyana,Endiandra sankeyana,Lauraceae,Qld,Lepidosperma tetraquetrum,,,,FR53
Endiandra wolfei,field_resistant,Endiandra wolfei,Endiandra wolfei,Lauraceae,Qld,Lepidosperma urophorum,,,,FR42
Utricularia multifida,field_resistant,Utricularia multifida,Utricularia multifida,Lentibulariaceae,WA,Lepidosperma viscidum,,,,FR40
Nuytsia floribunda,field_resistant,Nuytsia floribunda,Nuytsia floribunda,Loranthaceae,WA,Mesomelaena graciliceps,,,,Q21
Synoum glandulosum subsp. paniculatum,field_resistant,Synoum glandulosum subsp. paniculosum,Synoum glandulosum subsp. paniculosum,Meliaceae,Qld,Mesomelaena stygia s.l.,,,,FR40
Acacia baxteri,field_resistant,Acacia baxteri,Acacia baxteri,Fabaceae,WA,Mesomelaena tetragona,,,,"FR21,24"
Acacia browniana s.l.,field_resistant,Acacia browniana,Acacia browniana,Fabaceae,WA,Ptilothrix deusta,,,,FR42
Acacia browniana var. intermedia,field_resistant,Acacia browniana var. intermedia,Acacia browniana var. intermedia,Fabaceae,WA,Schoenus efoliatus,,,,"FR58,59"
Acacia cyclops,field_resistant,Acacia cyclops,Acacia cyclops,Fabaceae,"WA, SA (native and naturalised), Vic (naturalised)",Schoenus imberbis,,,,FR42
Acacia dealbata,field_resistant,Acacia dealbata,Acacia dealbata,Fabaceae,"WA (naturalised), SA (naturalised), NSW, NI (doubtfully naturalised), ACT, Vic, Tas",Schoenus sp. Stirling,,,,"FR58,59"
Acacia extensa,field_resistant,Acacia extensa,Acacia extensa,Fabaceae,"WA, Vic (naturalised)",Tetraria capillaris,,,,"FR21,40"
Acacia melanoxylon,field_resistant,Acacia melanoxylon,Acacia melanoxylon,Fabaceae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas",Tetraria octandra,,,,FR21
Acacia obovata,field_resistant,Acacia obovata,Acacia obovata,Fabaceae,WA,Chamaexeros serra,40,,,FR40
Acacia preissiana,field_resistant,Acacia preissiana,Acacia preissiana,Fabaceae,WA,Dasypogon bromeliifolius,24,,,"S37,46,LS40,59"
Paraserianthes lophantha,field_resistant,Paraserianthes lophantha,Paraserianthes lophantha,Fabaceae,"WA (native and naturalised), SA (naturalised), NSW (naturalised), NI (naturalised), Vic (naturalised), Tas (naturalised)",Kingia australis,,,,FR22
Daphnandra repandula,field_resistant,Daphnandra repandula,Daphnandra repandula,Atherospermataceae,Qld,Pteridium esculentum,2,,,"FR40,59,Q21"
Acmena resa,field_resistant,Syzygium resa,Syzygium resa,Myrtaceae,Qld,Hibbertia acerosa,"48,15,28",,,S48
Astartea fascicularis,field_resistant,Astartea fascicularis,Astartea fascicularis,Myrtaceae,"WA, ACT (doubtfully naturalised)",Hibbertia acicularis,"17,34",,,
Astartea heteranthera,field_resistant,Cyathostemon heterantherus,Cyathostemon heterantherus,Myrtaceae,"WA, Vic (naturalised)",Hibbertia amplexicaulis,"14,28",,,"S21,24,48,HS14"
Austromyrtus sp. (Gillies BG 1484),field_resistant,Gossia grayi,Gossia grayi,Myrtaceae,Qld,Hibbertia australis,25,,,
Baeckea pachyphylla,field_resistant,Baeckea pachyphylla,Baeckea pachyphylla,Myrtaceae,WA,Hibbertia calycina,,,9,HS9
Calothamnus quadrifidus,field_resistant,Calothamnus quadrifidus,Calothamnus quadrifidus,Myrtaceae,WA (native and naturalised),Hibbertia commutata ,28,,21,"LS40,59,HS21"
Calothamnus sanguineus,field_resistant,Calothamnus sanguineus,Calothamnus sanguineus,Myrtaceae,WA,Hibbertia cunninghamii,15,,,
Calytrix asperula,field_resistant,Calytrix asperula,Calytrix asperula,Myrtaceae,WA,Hibbertia desmophylla,51,,,S51
Calytrix flavescens,field_resistant,Calytrix flavescens,Calytrix flavescens,Myrtaceae,WA,Hibbertia empetrifolia,"17,34",,,
Calytrix leschenaultii,field_resistant,Calytrix leschenaultii,Calytrix leschenaultii,Myrtaceae,WA,Hibbertia furfuracea ,,,,S56
Calytrix tenuiramea,field_resistant,Calytrix tenuiramea,Calytrix tenuiramea,Myrtaceae,WA,Hibbertia glomerata s.l.,,,,HS21
Corymbia ficifolia,field_resistant,Corymbia ficifolia,Corymbia ficifolia,Myrtaceae,"WA, SA (doubtfully naturalised)",Hibbertia huegelii,,,21,Q21
Corymbia maculata,field_resistant,Corymbia maculata,Corymbia maculata,Myrtaceae,"WA (naturalised), SA (doubtfully naturalised), NSW, Vic (native and naturalised)",Hibbertia hypericoides,"14,24",,,"S37,46,SP21 MS40,HS14"
Darwinia citriodora,field_resistant,Darwinia citriodora,Darwinia citriodora,Myrtaceae,"WA, SA (naturalised)",Hibbertia inconspicua ,,,,S46
Darwinia vestita,field_resistant,Darwinia vestita,Darwinia vestita,Myrtaceae,WA,Hibbertia lineata,"14,24",,,S24
Eucalyptus accedens,field_resistant,Eucalyptus accedens,Eucalyptus accedens,Myrtaceae,WA,Hibbertia montana ,"14,48,24",,,"S24,48,HS14"
Eucalyptus amygdalina,field_resistant,Eucalyptus amygdalina [alternative possible names: Eucalyptus falciformis (pro parte misapplied)],Eucalyptus amygdalina,Myrtaceae,Tas,Hibbertia obtusifolia,3,,,
Eucalyptus angulosa,field_resistant,Eucalyptus angulosa [alternative possible names: Eucalyptus capitanea (pro parte misapplied)],Eucalyptus angulosa,Myrtaceae,"WA, SA",Hibbertia procumbens,"17,34",,,S60
Eucalyptus astringens,field_resistant,Eucalyptus astringens,Eucalyptus astringens,Myrtaceae,"WA, Vic (naturalised)",Hibbertia prostrata,"17,25,29,34",,,S43
Eucalyptus buprestium,field_resistant,Eucalyptus buprestium,Eucalyptus buprestium,Myrtaceae,WA,Hibbertia quadricolor,14,,,"S24,HS14,21"
Eucalyptus camaldulensis,field_resistant,Eucalyptus camaldulensis,Eucalyptus camaldulensis,Myrtaceae,"WA (native and naturalised), NT, SA, Qld, NSW, ACT, Vic",Hibbertia rhadinopoda,26,,21,SP21
Eucalyptus coccifera,field_resistant,Eucalyptus coccifera,Eucalyptus coccifera,Myrtaceae,Tas,Hibbertia riparia,"17,20,25,29,34",,,S60
Eucalyptus conferruminata,field_resistant,Eucalyptus conferruminata,Eucalyptus conferruminata,Myrtaceae,"WA, Vic (doubtfully naturalised)",Hibbertia sericea s.l.,"17,34",,,
Eucalyptus cordata,field_resistant,Eucalyptus cordata,Eucalyptus cordata,Myrtaceae,Tas,Hibbertia silvestris,"14,24",,,FR24
Eucalyptus dalrympleana s.l.,field_resistant,Eucalyptus dalrympleana,Eucalyptus dalrympleana,Myrtaceae,"SA, Qld, NSW, ACT, Vic, Tas",Hibbertia stricta,"4,7,25",,,S43
Eucalyptus decurva,field_resistant,Eucalyptus decurva,Eucalyptus decurva,Myrtaceae,WA,Hibbertia subvaginata,"14,15,24,37",,,HS14
Eucalyptus doratoxylon,field_resistant,Eucalyptus doratoxylon,Eucalyptus doratoxylon,Myrtaceae,WA,Hibbertia virgata,"5,25",,9,"S43, HS9"
Eucalyptus erectifolia,field_resistant,Eucalyptus erectifolia,Eucalyptus erectifolia,Myrtaceae,WA,Drosera erythrorhiza s.l.,,,,"FR21,40"
Eucalyptus falcata,field_resistant,Eucalyptus falcata,Eucalyptus falcata,Myrtaceae,WA,Drosera huegelii,,,,FR59
Eucalyptus forrestiana,field_resistant,Eucalyptus forrestiana,Eucalyptus forrestiana,Myrtaceae,WA,Drosera macrantha s.l.,,,,FR21
Eucalyptus gardneri,field_resistant,Eucalyptus gardneri,Eucalyptus gardneri,Myrtaceae,WA,Drosera pallida,,,,FR40
Eucalyptus globulus s.l.,field_resistant,Eucalyptus globulus,Eucalyptus globulus,Myrtaceae,"WA (naturalised), SA, NSW, ACT (naturalised), Vic, Tas",Drosera platystigma,,,,FR21
Eucalyptus gomphocephala,field_resistant,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Myrtaceae,"WA, Vic (doubtfully naturalised)",Drosera stolonifera s.l.,,,,"FR59,Q21"
Eucalyptus krusana,field_resistant,Eucalyptus kruseana,Eucalyptus kruseana,Myrtaceae,WA,Elaeocarpus eumendi,,,,FR36
Eucalyptus laeliae,field_resistant,Eucalyptus laeliae,Eucalyptus laeliae,Myrtaceae,WA,Elaeocarpus foveolatus,,,,S36
