Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution
Callitris rhomboidea,field_resistant,Callitris rhomboidea,Callitris rhomboidea,Cupressaceae,"WA (naturalised), SA, Qld, NSW, Vic (native and naturalised), Tas"
Caustis dioica,field_resistant,Caustis dioica,Caustis dioica,Cyperaceae,WA
Cyathochaeta clandestina,field_resistant,Cyathochaeta clandestina,Cyathochaeta clandestina,Cyperaceae,WA
Gahnia grandis,field_resistant,Gahnia grandis,Gahnia grandis,Cyperaceae,"NSW, Vic, Tas"
Gahnia trifida,field_resistant,Gahnia trifida,Gahnia trifida,Cyperaceae,"WA, SA, Vic, Tas"
Gymnoschoenus sphaerocephalus,field_resistant,Gymnoschoenus sphaerocephalus,Gymnoschoenus sphaerocephalus,Cyperaceae,"SA, NSW, Vic, Tas"
Lepidosperma angustatum,field_resistant,Lepidosperma angustatum,Lepidosperma angustatum,Cyperaceae,WA
Lepidosperma brunonianum,field_resistant,Lepidosperma sieberi,Lepidosperma sieberi,Cyperaceae,"SA, NSW, Vic, Tas"
Lepidosperma concavum,field_resistant,Lepidosperma concavum,Lepidosperma concavum,Cyperaceae,NSW
Lepidosperma effusum,field_resistant,Lepidosperma effusum,Lepidosperma effusum,Cyperaceae,WA
Lepidosperma gladiatum,field_resistant,Lepidosperma gladiatum,Lepidosperma gladiatum,Cyperaceae,"WA, SA, NSW, Vic, Tas"
Lepidosperma laterale s.l.,field_resistant,Lepidosperma laterale,Lepidosperma laterale,Cyperaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Lepidosperma longitudinale,field_resistant,Lepidosperma longitudinale,Lepidosperma longitudinale,Cyperaceae,"WA, Qld, NSW, Vic, Tas"
Lepidosperma scabrum,field_resistant,Lepidosperma scabrum,Lepidosperma scabrum,Cyperaceae,WA
Lepidosperma tenue,field_resistant,Lepidosperma tenue,Lepidosperma tenue,Cyperaceae,WA
Lepidosperma tetraquetrum,field_resistant,Lepidosperma tetraquetrum,Lepidosperma tetraquetrum,Cyperaceae,WA
Lepidosperma urophorum,field_resistant,Lepidosperma urophorum,Lepidosperma urophorum,Cyperaceae,"NSW, ACT, Vic"
Lepidosperma viscidum,field_resistant,Lepidosperma viscidum,Lepidosperma viscidum,Cyperaceae,"WA, SA, Qld, NSW, Vic, Tas"
Mesomelaena stygia s.l.,field_resistant,Mesomelaena stygia,Mesomelaena stygia,Cyperaceae,WA
Ptilothrix deusta,field_resistant,Ptilothrix deusta,Ptilothrix deusta,Cyperaceae,"Qld, NSW"
Schoenus imberbis,field_resistant,Schoenus imberbis,Schoenus imberbis,Cyperaceae,"NSW, Vic"
Tetraria octandra,field_resistant,Tetraria octandra,Tetraria octandra,Cyperaceae,WA
Chamaexeros serra,field_resistant,Chamaexeros serra,Chamaexeros serra,Asparagaceae,WA
Kingia australis,field_resistant,Kingia australis,Kingia australis,Dasypogonaceae,WA
Hibbertia humifusa,field_resistant,Hibbertia humifusa,Hibbertia humifusa,Dilleniaceae,Vic
Hibbertia silvestris,field_resistant,Hibbertia silvestris,Hibbertia silvestris,Dilleniaceae,WA
Drosera huegelii,field_resistant,Drosera huegelii,Drosera huegelii,Droseraceae,WA
Drosera macrantha s.l.,field_resistant,Drosera macrantha,Drosera macrantha,Droseraceae,"WA, SA, Vic, Tas"
Drosera pallida,field_resistant,Drosera pallida,Drosera pallida,Droseraceae,WA
Drosera platystigma,field_resistant,Drosera platystigma,Drosera platystigma,Droseraceae,WA
Elaeocarpus eumendi,field_resistant,Elaeocarpus eumundi,Elaeocarpus eumundi,Elaeocarpaceae,"Qld, NSW"
Elaeocarpus largiflorens subsp. retinervis,field_resistant,Elaeocarpus largiflorens subsp. retinervis,Elaeocarpus largiflorens subsp. retinervis,Elaeocarpaceae,Qld
Sloanea macbrydei,field_resistant,Sloanea macbrydei,Sloanea macbrydei,Elaeocarpaceae,Qld
Leucopogon lanceolatus s.l.,field_resistant,Styphelia affinis,Styphelia affinis,Ericaceae,"SA, Qld, NSW, Vic, Tas"
Leucopogon pendulus,field_resistant,Styphelia pendula,Styphelia pendula,Ericaceae,WA
Antidesma erostre,field_resistant,Antidesma erostre,Antidesma erostre,Phyllanthaceae,Qld
Hylandia dockrilii,field_resistant,Hylandia dockrillii,Hylandia dockrillii,Euphorbiaceae,Qld
Macaranga subdentata,field_resistant,Macaranga subdentata,Macaranga subdentata,Euphorbiaceae,Qld
Stachystemon vermicularis,field_resistant,Stachystemon vermicularis,Stachystemon vermicularis,Picrodendraceae,WA
Bossiaea linophylla,field_resistant,Bossiaea linophylla,Bossiaea linophylla,Fabaceae,WA
Bossiaea rufa,field_resistant,Bossiaea rufa,Bossiaea rufa,Fabaceae,WA
Chorizema aciculare s.l.,field_resistant,Chorizema aciculare,Chorizema aciculare,Fabaceae,WA
Dillwynia sp. A,field_resistant,Dillwynia rupestris,Dillwynia rupestris,Fabaceae,NSW
Gastrolobium bilobum,field_resistant,Gastrolobium bilobum,Gastrolobium bilobum,Fabaceae,"WA, Vic (doubtfully naturalised)"
Gompholobium capitatum,field_resistant,Gompholobium capitatum,Gompholobium capitatum,Fabaceae,WA
Gompholobium marginatum,field_resistant,Gompholobium marginatum,Gompholobium marginatum,Fabaceae,WA
Gompholobium polymorphum,field_resistant,Gompholobium polymorphum,Gompholobium polymorphum,Fabaceae,WA
Gompholobium preissii,field_resistant,Gompholobium preissii,Gompholobium preissii,Fabaceae,WA
Jacksonia alata,field_resistant,Jacksonia alata,Jacksonia alata,Fabaceae,WA
Kennedia prostrata,field_resistant,Kennedia prostrata,Kennedia prostrata,Fabaceae,"WA, SA, NSW, Vic, Tas"
Mirbelia dilatata,field_resistant,Mirbelia dilatata,Mirbelia dilatata,Fabaceae,WA
Pultenaea ericifolia,field_resistant,Pultenaea ericifolia,Pultenaea ericifolia,Fabaceae,WA
Sphaerolobium medium,field_resistant,Sphaerolobium medium,Sphaerolobium medium,Fabaceae,WA
Dampiera fasciculata,field_resistant,Dampiera fasciculata [alternative possible names: Dampiera stricta (pro parte misapplied)],Dampiera fasciculata,Goodeniaceae,WA
Dampiera linearis,field_resistant,Dampiera linearis,Dampiera linearis,Goodeniaceae,WA
Scaevola striata s.l.,field_resistant,Scaevola striata,Scaevola striata,Goodeniaceae,WA
Velleia foliosa,field_resistant,Goodenia brendannarum,Goodenia brendannarum,Goodeniaceae,WA
Polyosma alangiacea,field_resistant,Polyosma alangiacea,Polyosma alangiacea,Escalloniaceae,Qld
Anigozanthus flavidus,field_resistant,Anigozanthos flavidus,Anigozanthos flavidus,Haemodoraceae,"WA, NSW (naturalised), Tas (doubtfully naturalised)"
Anigozanthus manglesii,field_resistant,Anigozanthos manglesii,Anigozanthos manglesii,Haemodoraceae,"WA, Qld (formerly naturalised)"
Anigozanthus rufus,field_resistant,Anigozanthos rufus,Anigozanthos rufus,Haemodoraceae,WA
Conostylis aculeata s.l.,field_resistant,Conostylis aculeata,Conostylis aculeata,Haemodoraceae,WA
Conostylis misera E,field_resistant,Conostylis misera,Conostylis misera,Haemodoraceae,WA
Conostylis pusilla,field_resistant,Conostylis pusilla,Conostylis pusilla,Haemodoraceae,WA
Macropidia fuliginosa,field_resistant,Macropidia fuliginosa,Macropidia fuliginosa,Haemodoraceae,WA
Gonocarpus benthamii subsp. Stirling,field_resistant,Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),Haloragaceae,WA
Gonocarpus rudis,field_resistant,Gonocarpus rudis,Gonocarpus rudis,Haloragaceae,WA
Gonocarpus teucrioides,field_resistant,Gonocarpus teucrioides,Gonocarpus teucrioides,Haloragaceae,"Qld, NSW, Vic, Tas"
Apodytes brachstylis,field_resistant,Apodytes brachystylis,Apodytes brachystylis,Icacinaceae,Qld
Citronella smythii,field_resistant,Citronella smythii,Citronella smythii,Icacinaceae,Qld
Irvingbaileya australis,field_resistant,Irvingbaileya australis,Irvingbaileya australis,Icacinaceae,Qld
Gmelina fasciculiflora,field_resistant,Gmelina fasciculiflora,Gmelina fasciculiflora,Lamiaceae,Qld
Hemigenia curvifolia,field_resistant,Hemigenia curvifolia,Hemigenia curvifolia,Lamiaceae,WA
Hemigenia ramosissima,field_resistant,Hemigenia ramosissima [alternative possible names: Hemigenia pritzelii (pro parte misapplied) | Hemigenia rigida (pro parte misapplied)],Hemigenia ramosissima,Lamiaceae,WA
Cassytha glabella,field_resistant,Cassytha glabella,Cassytha glabella,Lauraceae,"WA, SA, Qld, NSW, Vic, Tas"
Cryptocarya angulata,field_resistant,Cryptocarya angulata,Cryptocarya angulata,Lauraceae,Qld
Cryptocarya corrugata,field_resistant,Cryptocarya corrugata,Cryptocarya corrugata,Lauraceae,Qld
Cryptocarya corrugata,field_resistant,Cryptocarya corrugata,Cryptocarya corrugata,Lauraceae,Qld
Cryptocarya densiflora,field_resistant,Cryptocarya densiflora,Cryptocarya densiflora,Lauraceae,Qld
Cryptocarya leucophylla,field_resistant,Cryptocarya leucophylla,Cryptocarya leucophylla,Lauraceae,Qld
Cryptocarya lividula,field_resistant,Cryptocarya lividula,Cryptocarya lividula,Lauraceae,Qld
Cryptocarya putida,field_resistant,Cryptocarya putida,Cryptocarya putida,Lauraceae,Qld
Endiandra dichrophylla,field_resistant,Endiandra dichrophylla,Endiandra dichrophylla,Lauraceae,Qld
Endiandra monothyra subsp. monothyra,field_resistant,Endiandra monothyra subsp. monothyra,Endiandra monothyra subsp. monothyra,Lauraceae,Qld
Endiandra montana,field_resistant,Endiandra montana,Endiandra montana,Lauraceae,Qld
Endiandra sankeyana,field_resistant,Endiandra sankeyana,Endiandra sankeyana,Lauraceae,Qld
Endiandra wolfei,field_resistant,Endiandra wolfei,Endiandra wolfei,Lauraceae,Qld
Utricularia multifida,field_resistant,Utricularia multifida,Utricularia multifida,Lentibulariaceae,WA
Nuytsia floribunda,field_resistant,Nuytsia floribunda,Nuytsia floribunda,Loranthaceae,WA
Synoum glandulosum subsp. paniculatum,field_resistant,Synoum glandulosum subsp. paniculosum,Synoum glandulosum subsp. paniculosum,Meliaceae,Qld
Acacia baxteri,field_resistant,Acacia baxteri,Acacia baxteri,Fabaceae,WA
Acacia browniana s.l.,field_resistant,Acacia browniana,Acacia browniana,Fabaceae,WA
Acacia browniana var. intermedia,field_resistant,Acacia browniana var. intermedia,Acacia browniana var. intermedia,Fabaceae,WA
Acacia cyclops,field_resistant,Acacia cyclops,Acacia cyclops,Fabaceae,"WA, SA (native and naturalised), Vic (naturalised)"
Acacia dealbata,field_resistant,Acacia dealbata,Acacia dealbata,Fabaceae,"WA (naturalised), SA (naturalised), NSW, NI (doubtfully naturalised), ACT, Vic, Tas"
Acacia extensa,field_resistant,Acacia extensa,Acacia extensa,Fabaceae,"WA, Vic (naturalised)"
Acacia melanoxylon,field_resistant,Acacia melanoxylon,Acacia melanoxylon,Fabaceae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas"
Acacia obovata,field_resistant,Acacia obovata,Acacia obovata,Fabaceae,WA
Acacia preissiana,field_resistant,Acacia preissiana,Acacia preissiana,Fabaceae,WA
Paraserianthes lophantha,field_resistant,Paraserianthes lophantha,Paraserianthes lophantha,Fabaceae,"WA (native and naturalised), SA (naturalised), NSW (naturalised), NI (naturalised), Vic (naturalised), Tas (naturalised)"
Daphnandra repandula,field_resistant,Daphnandra repandula,Daphnandra repandula,Atherospermataceae,Qld
Acmena resa,field_resistant,Syzygium resa,Syzygium resa,Myrtaceae,Qld
Astartea fascicularis,field_resistant,Astartea fascicularis,Astartea fascicularis,Myrtaceae,"WA, ACT (doubtfully naturalised)"
Astartea heteranthera,field_resistant,Cyathostemon heterantherus,Cyathostemon heterantherus,Myrtaceae,"WA, Vic (naturalised)"
Austromyrtus sp. (Gillies BG 1484),field_resistant,Gossia grayi,Gossia grayi,Myrtaceae,Qld
Baeckea pachyphylla,field_resistant,Baeckea pachyphylla,Baeckea pachyphylla,Myrtaceae,WA
Calothamnus quadrifidus,field_resistant,Calothamnus quadrifidus,Calothamnus quadrifidus,Myrtaceae,WA (native and naturalised)
Calothamnus sanguineus,field_resistant,Calothamnus sanguineus,Calothamnus sanguineus,Myrtaceae,WA
Calytrix asperula,field_resistant,Calytrix asperula,Calytrix asperula,Myrtaceae,WA
Calytrix flavescens,field_resistant,Calytrix flavescens,Calytrix flavescens,Myrtaceae,WA
Calytrix leschenaultii,field_resistant,Calytrix leschenaultii,Calytrix leschenaultii,Myrtaceae,WA
Calytrix tenuiramea,field_resistant,Calytrix tenuiramea,Calytrix tenuiramea,Myrtaceae,WA
Corymbia ficifolia,field_resistant,Corymbia ficifolia,Corymbia ficifolia,Myrtaceae,"WA, SA (doubtfully naturalised)"
Corymbia maculata,field_resistant,Corymbia maculata,Corymbia maculata,Myrtaceae,"WA (naturalised), SA (doubtfully naturalised), NSW, Vic (native and naturalised)"
Darwinia citriodora,field_resistant,Darwinia citriodora,Darwinia citriodora,Myrtaceae,"WA, SA (naturalised)"
Darwinia vestita,field_resistant,Darwinia vestita,Darwinia vestita,Myrtaceae,WA
Eucalyptus accedens,field_resistant,Eucalyptus accedens,Eucalyptus accedens,Myrtaceae,WA
Eucalyptus amygdalina,field_resistant,Eucalyptus amygdalina [alternative possible names: Eucalyptus falciformis (pro parte misapplied)],Eucalyptus amygdalina,Myrtaceae,Tas
Eucalyptus angulosa,field_resistant,Eucalyptus angulosa [alternative possible names: Eucalyptus capitanea (pro parte misapplied)],Eucalyptus angulosa,Myrtaceae,"WA, SA"
Eucalyptus astringens,field_resistant,Eucalyptus astringens,Eucalyptus astringens,Myrtaceae,"WA, Vic (naturalised)"
Eucalyptus buprestium,field_resistant,Eucalyptus buprestium,Eucalyptus buprestium,Myrtaceae,WA
Eucalyptus camaldulensis,field_resistant,Eucalyptus camaldulensis,Eucalyptus camaldulensis,Myrtaceae,"WA (native and naturalised), NT, SA, Qld, NSW, ACT, Vic"
Eucalyptus coccifera,field_resistant,Eucalyptus coccifera,Eucalyptus coccifera,Myrtaceae,Tas
Eucalyptus conferruminata,field_resistant,Eucalyptus conferruminata,Eucalyptus conferruminata,Myrtaceae,"WA, Vic (doubtfully naturalised)"
Eucalyptus cordata,field_resistant,Eucalyptus cordata,Eucalyptus cordata,Myrtaceae,Tas
Eucalyptus dalrympleana s.l.,field_resistant,Eucalyptus dalrympleana,Eucalyptus dalrympleana,Myrtaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Eucalyptus decurva,field_resistant,Eucalyptus decurva,Eucalyptus decurva,Myrtaceae,WA
Eucalyptus doratoxylon,field_resistant,Eucalyptus doratoxylon,Eucalyptus doratoxylon,Myrtaceae,WA
Eucalyptus erectifolia,field_resistant,Eucalyptus erectifolia,Eucalyptus erectifolia,Myrtaceae,WA
Eucalyptus falcata,field_resistant,Eucalyptus falcata,Eucalyptus falcata,Myrtaceae,WA
Eucalyptus forrestiana,field_resistant,Eucalyptus forrestiana,Eucalyptus forrestiana,Myrtaceae,WA
Eucalyptus gardneri,field_resistant,Eucalyptus gardneri,Eucalyptus gardneri,Myrtaceae,WA
Eucalyptus globulus s.l.,field_resistant,Eucalyptus globulus,Eucalyptus globulus,Myrtaceae,"WA (naturalised), SA, NSW, ACT (naturalised), Vic, Tas"
Eucalyptus gomphocephala,field_resistant,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Myrtaceae,"WA, Vic (doubtfully naturalised)"
Eucalyptus krusana,field_resistant,Eucalyptus kruseana,Eucalyptus kruseana,Myrtaceae,WA
Eucalyptus laeliae,field_resistant,Eucalyptus laeliae,Eucalyptus laeliae,Myrtaceae,WA
Eucalyptus lehmanniii,field_resistant,Eucalyptus lehmannii,Eucalyptus lehmannii,Myrtaceae,WA
Eucalyptus megacarpa,field_resistant,Eucalyptus megacarpa,Eucalyptus megacarpa,Myrtaceae,WA
Eucalyptus nitida,field_resistant,Eucalyptus nitida,Eucalyptus nitida,Myrtaceae,Tas
Eucalyptus occidentalis,field_resistant,Eucalyptus occidentalis,Eucalyptus occidentalis,Myrtaceae,"WA, Vic (naturalised)"
Eucalyptus ovata s.l.,field_resistant,Eucalyptus ovata,Eucalyptus ovata,Myrtaceae,"SA, NSW, Vic, Tas"
Eucalyptus pachyloma,field_resistant,Eucalyptus pachyloma,Eucalyptus pachyloma,Myrtaceae,WA
Eucalyptus patens,field_resistant,Eucalyptus patens,Eucalyptus patens,Myrtaceae,WA
Eucalyptus pauciflora s.l.,field_resistant,Eucalyptus pauciflora,Eucalyptus pauciflora,Myrtaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Eucalyptus preissiana,field_resistant,Eucalyptus preissiana,Eucalyptus preissiana,Myrtaceae,WA
Eucalyptus pulchella,field_resistant,Eucalyptus pulchella,Eucalyptus pulchella,Myrtaceae,Tas
Eucalyptus rudis,field_resistant,Eucalyptus rudis,Eucalyptus rudis,Myrtaceae,WA
Eucalyptus spathulata,field_resistant,Eucalyptus spathulata,Eucalyptus spathulata,Myrtaceae,"WA, Vic (doubtfully naturalised)"
Eucalyptus talyuberlup,field_resistant,Eucalyptus talyuberlup,Eucalyptus talyuberlup,Myrtaceae,WA
Eucalyptus uncinata,field_resistant,Eucalyptus uncinata,Eucalyptus uncinata,Myrtaceae,WA
Eucalyptus viminalis,field_resistant,Eucalyptus viminalis [alternative possible names: Corymbia tessellaris (taxonomic synonym) | Eucalyptus dalrympleana subsp. dalrympleana (pro parte misapplied) | Eucalyptus diversifolia subsp. diversifolia (pro parte misapplied) | Eucalyptus nobilis (misapplied)],Eucalyptus viminalis,Myrtaceae,"SA, NSW, ACT, Vic, Tas"
Eucalyptus wandoo,field_resistant,Eucalyptus wandoo,Eucalyptus wandoo,Myrtaceae,WA
Homalospermum firmum,field_resistant,Homalospermum firmum,Homalospermum firmum,Myrtaceae,WA
Hypocalymma phillipsii,field_resistant,Hypocalymma phillipsii,Hypocalymma phillipsii,Myrtaceae,WA
Hypocalymma speciosum,field_resistant,Hypocalymma speciosum,Hypocalymma speciosum,Myrtaceae,WA
Kunzea preissiana,field_resistant,Kunzea preissiana [alternative possible names: Kunzea strigosa (pro parte misapplied)],Kunzea preissiana,Myrtaceae,WA
Leptospermum erubescens,field_resistant,Leptospermum erubescens,Leptospermum erubescens,Myrtaceae,WA
Leptospermum scoparium,field_resistant,Leptospermum scoparium,Leptospermum scoparium,Myrtaceae,"NSW, Vic, Tas"
Melaleuca cuticularis,field_resistant,Melaleuca cuticularis,Melaleuca cuticularis,Myrtaceae,"WA, SA"
Melaleuca diosmifolia,field_resistant,Melaleuca diosmifolia,Melaleuca diosmifolia,Myrtaceae,"WA (native and naturalised), Vic (naturalised)"
Melaleuca holosericea,field_resistant,Melaleuca holosericea,Melaleuca holosericea,Myrtaceae,WA
Melaleuca lanceolata,field_resistant,Melaleuca lanceolata,Melaleuca lanceolata,Myrtaceae,"WA (native and naturalised), SA, Qld, NSW, Vic"
Melaleuca laxiflora,field_resistant,Melaleuca laxiflora,Melaleuca laxiflora,Myrtaceae,WA
Melaleuca macronychia,field_resistant,Melaleuca macronychia,Melaleuca macronychia,Myrtaceae,WA
Melaleuca microphylla,field_resistant,Melaleuca microphylla,Melaleuca microphylla,Myrtaceae,"WA, SA (naturalised)"
Melaleuca nesophila,field_resistant,Melaleuca nesophila,Melaleuca nesophila,Myrtaceae,"WA (native and naturalised), SA (naturalised), Vic (naturalised)"
Melaleuca pentagona s.l.,field_resistant,Melaleuca pentagona,Melaleuca pentagona,Myrtaceae,WA (native and naturalised)
Melaleuca pulchella,field_resistant,Melaleuca pulchella,Melaleuca pulchella,Myrtaceae,WA
Melaleuca seriata,field_resistant,Melaleuca seriata,Melaleuca seriata,Myrtaceae,WA
Melaleuca spathulata,field_resistant,Melaleuca spathulata,Melaleuca spathulata,Myrtaceae,WA
Melaleuca suberosa,field_resistant,Melaleuca suberosa,Melaleuca suberosa,Myrtaceae,WA
Melaleuca violacea,field_resistant,Melaleuca violacea,Melaleuca violacea,Myrtaceae,WA
Rhodamnia sessiliflora,field_resistant,Rhodamnia sessiliflora,Rhodamnia sessiliflora,Myrtaceae,Qld
Syzygium cormiflorum,field_resistant,Syzygium cormiflorum,Syzygium cormiflorum,Myrtaceae,Qld
Syzygium johnsonii,field_resistant,Syzygium johnsonii,Syzygium johnsonii,Myrtaceae,Qld
Syzygium wesa,field_resistant,Syzygium wesa,Syzygium wesa,Myrtaceae,Qld
Verticordia habrantha,field_resistant,Verticordia habrantha,Verticordia habrantha,Myrtaceae,WA
Waterhousia unipunctata,field_resistant,Syzygium unipunctatum,Syzygium unipunctatum,Myrtaceae,Qld
Brackenridgea nitida subsp. australiana,field_resistant,Brackenridgea australiana,Brackenridgea australiana,Ochnaceae,Qld
Olax phyllanthi,field_resistant,Olax phyllanthi,Olax phyllanthi,Olacaceae,WA
Chionanthus axillaris,field_resistant,Chionanthus axillaris,Chionanthus axillaris,Oleaceae,Qld
Cryptostylis ovata,field_resistant,Cryptostylis ovata,Cryptostylis ovata,Orchidaceae,WA
Drakea confluens E,field_resistant,Drakaea confluens,Drakaea confluens,Orchidaceae,WA
Eriochilus dilatatus,field_resistant,Eriochilus dilatatus,Eriochilus dilatatus,Orchidaceae,WA
Leporella fimbriata,field_resistant,Leporella fimbriata,Leporella fimbriata,Orchidaceae,"WA, SA, Vic"
Mecopodum parvifolium,field_resistant,Prasophyllum parvifolium,Prasophyllum parvifolium,Orchidaceae,WA
Pterostylis vittata,field_resistant,Pterostylis vittata,Pterostylis vittata,Orchidaceae,WA
Pterostylis aff. nana,field_resistant,Pterostylis angulata,Pterostylis angulata,Orchidaceae,WA
Pyrorchis nigricans,field_resistant,Pyrorchis nigricans,Pyrorchis nigricans,Orchidaceae,"WA, SA, NSW, Vic, Tas"
Thelymitra crinita,field_resistant,Thelymitra crinita,Thelymitra crinita,Orchidaceae,WA
Thelymitra pauciflora s.l.,field_resistant,Thelymitra pauciflora [alternative possible names: Thelymitra albiflora (pro parte misapplied) | Thelymitra arenaria (pro parte misapplied) | Thelymitra batesii (pro parte misapplied) | Thelymitra bracteata (pro parte misapplied) | Thelymitra brevifolia (pro parte misapplied) | Thelymitra crenulata (pro parte misapplied) | Thelymitra cyanapicata (pro parte misapplied) | Thelymitra exigua (pro parte misapplied) | Thelymitra inflata (pro parte misapplied) | Thelymitra latifolia (pro parte misapplied) | Thelymitra malvina (pro parte misapplied) | Thelymitra odora (pro parte misapplied) | Thelymitra pallidifructus (pro parte misapplied) | Thelymitra peniculata (pro parte misapplied) | Thelymitra brevifolia (misapplied) | Thelymitra vulgaris (misapplied)],Thelymitra pauciflora,Orchidaceae,"Qld, NSW, ACT, Vic, Tas"
Johnsonia lupulina s.l.,field_resistant,Johnsonia lupulina,Johnsonia lupulina,Hemerocallidaceae,WA
